word,cluster
frustration,49
fry,41
fu,156
fuck,90
full,422
fullness,56
fumble,437
fume,511
function,263
fund,169
funeral,375
fur,330
furious,49
furnishing,93
furniture,23
fury,49
fuss,156
fussy,171
future,329
g,17
gabbe,419
gabble,212
gag,383
gain,192
gait,404
gall,41
gallery,362
gamble,461
gambler,238
game,141
gang,437
gap,419
garden,438
garment,178
gasp,174
gate,132
gather,3
gathering,43
gauge,422
gawk,275
gaze,224
gear,193
gender,276
general,108
generosity,143
generous,509
genital,82
genius,509
german,235
gesture,224
get,346
getting,63
ghost,106
gibe,511
giddiness,68
giddy,59
gift,375
giggle,250
gingerroot,21
girl,141
girlfriend,89
girlhood,68
girlishness,68
gist,109
gitane,391
gitanes,391
give,18
glance,224
glare,91
glass,474
glean,22
glee,191
gleefully,452
glide,383
glimpse,383
glinting,110
gloom,188
glory,147
gloss,74
glove,43
glow,497
glowed,149
glower,98
glue,148
gmail,138
go,328
goad,22
goal,279
gobble,212
god,90
goddaughter,64
going,63
gold,335
gone,135
good,253
goodbye,388
goodness,227
google,180
gorge,103
gossip,49
got,220
gouge,59
govern,459
government,276
gown,178
grab,18
grace,439
grade,422
graduate,169
graduation,61
grain,462
grammar,440
grandchild,64
granddad,64
granddaughter,473
grandfather,101
grandma,101
grandmother,101
grandniece,64
grandparent,64
grandson,473
grant,61
grape,437
grapple,194
grasp,379
gratify,381
gratitude,127
grave,375
graze,274
green,431
greet,288
greeting,193
grief,287
grievance,511
grieve,355
grill,43
grimace,454
grin,454
grind,497
grindstone,238
grip,328
grit,220
groan,361
grocery,260
groggily,354
groin,421
groom,260
grope,66
ground,270
groundwork,406
group,489
grow,379
growl,361
grudge,98
grumble,325
grunt,389
guard,141
guess,4
guest,51
guide,74
guilt,127
guilte,282
gullet,284
gulp,375
gum,20
gun,141
gush,67
gut,193
guzzle,331
habit,260
hack,180
hackle,407
had,157
hadn,157
haggle,212
hail,91
hair,165
hairbrush,165
haircut,165
hairline,165
hairstyle,165
hall,362
hallucinate,358
halt,455
hamper,238
hamstring,421
hand,112
handbag,160
handcuff,6
handed,63
handful,156
handicap,61
handing,63
handiwork,93
handkerchief,148
handle,328
handler,260
handmaid,145
handprint,160
handwriting,382
hang,205
hangout,275
happen,280
happiness,196
happy,196
harbor,132
hard,264
harden,437
hardworke,218
harm,75
harsh,193
harshness,171
harvest,106
haste,375
hasten,249
hat,288
hate,135
hatred,49
haughtiness,171
haul,497
haunch,46
haunt,260
have,379
hayami,208
hazard,383
haze,35
he,63
head,141
headache,49
headband,79
headboard,215
headdress,39
headfirst,477
headlong,477
headmistress,86
headphone,511
headquarter,79
headquarters,61
heal,205
health,259
heap,15
hear,308
hearing,63
heart,186
heartache,98
heartbeat,451
heartstring,466
heat,48
heave,274
heavy,152
heavyhandedness,171
heed,274
heel,11
height,422
heime,419
heir,118
helmet,36
help,205
helplessness,501
hemorrhage,6
heping,33
her,220
herb,438
herd,41
heritage,362
heroine,473
hesitance,246
hesitancy,246
hesitate,174
hesitation,224
hibernation,430
hiccup,275
hide,328
high,375
hike,100
himalayan,41
hint,156
hip,112
hire,459
hiss,482
history,494
hit,497
hitch,43
hitching,110
hoard,394
hoarse,15
hobble,212
hoist,71
hold,328
hole,141
holler,393
home,456
homeland,118
homesick,171
hometown,43
homework,193
honey,147
honk,481
honor,463
honour,222
hood,43
hoodie,479
hook,41
hop,136
hope,147
hopefulness,501
horizon,383
hork,394
horrify,267
horror,244
horse,402
hospitable,267
hospital,132
host,230
hostess,166
hostility,392
hotel,345
hound,280
hour,100
house,141
housedress,223
household,260
housekeeper,118
housekeeping,321
housemate,98
hover,197
howl,482
hua,182
huddle,488
huff,20
hug,288
hui,115
hulije,16
hum,20
humble,118
humiliate,104
humiliation,49
humor,250
hunch,278
hunger,264
hungry,177
hunt,328
hurl,71
hurry,497
hurt,127
hurtle,60
husband,89
hush,147
hustle,278
hydrangea,233
hyper,73
hypothesis,201
i,280
idea,415
identify,269
identity,289
identiﬁe,151
identiﬁer,151
idle,280
idolize,428
ignite,71
ignorance,193
ignore,18
ill,429
illness,392
image,369
imagination,280
imagine,3
imagining,383
imago,277
imbue,283
imitate,272
immaturity,37
immerse,381
immigrate,37
immobilize,37
impact,106
impatience,49
impatient,193
impede,104
impersonate,26
imploding,395
implore,202
imply,289
importance,32
important,463
impress,437
impressed,227
impression,362
impressive,509
imprison,124
imprisonment,148
improve,425
improvement,312
improvise,26
imprudence,493
impudence,171
impugn,122
impulse,224
in,62
inability,75
inaction,452
inadequacy,493
incapable,17
incapacitate,300
incense,318
inch,422
incision,234
incisor,82
inclination,306
incline,40
include,379
inclusion,332
income,30
incorporate,41
increase,459
incredulously,2
incriminating,104
independence,294
index,74
indicate,107
indignation,144
indispensable,122
indiﬀerence,28
induce,346
indulge,26
infant,463
infect,62
infidelity,508
influence,397
inform,206
information,130
infuriate,413
infuse,283
ingest,285
ingratiate,122
inhabit,142
inhalation,167
inhale,62
inherit,192
inheritance,30
inhibit,346
initial,462
initiate,91
inject,62
injection,178
injure,62
ink,35
inkstone,66
innard,511
innocence,224
inoculate,131
inquire,94
inquiry,32
insect,48
insecurity,37
insert,51
inside,382
insight,32
insist,178
insisted,188
