character_id,role,word,freq
4,patient,resented,1
4,patient,rested,1
4,patient,run,1
4,patient,seated,2
4,patient,steady,1
4,patient,stop,1
4,patient,stopped,1
4,patient,stunned,1
4,patient,subdued,1
4,patient,surprised,1
4,patient,take,3
4,patient,taking,1
4,patient,tell,1
4,patient,thank,2
4,patient,told,2
4,patient,treat,1
4,patient,walked,2
4,patient,warning,1
4,patient,wrapped,1
4,possessive,ankle,4
4,possessive,approval,2
4,possessive,arrival,1
4,possessive,attention,1
4,possessive,attitude,1
4,possessive,bag,1
4,possessive,balance,1
4,possessive,berth,1
4,possessive,best,1
4,possessive,blouse,1
4,possessive,body,1
4,possessive,book,1
4,possessive,card,2
4,possessive,chinese,1
4,possessive,choice,2
4,possessive,chopsticks,1
4,possessive,comment,1
4,possessive,comments,1
4,possessive,company,1
4,possessive,cooking,1
4,possessive,cooperation,1
4,possessive,cosmetics,1
4,possessive,culture,1
4,possessive,cup,3
4,possessive,defense,1
4,possessive,department,1
4,possessive,desk,1
4,possessive,downstairs,1
4,possessive,dress,2
4,possessive,elbow,1
4,possessive,escort,1
4,possessive,experience,1
4,possessive,eyes,4
4,possessive,face,3
4,possessive,fault,1
4,possessive,feet,2
4,possessive,file,1
4,possessive,finger,1
4,possessive,forehead,1
4,possessive,fu,1
4,possessive,gibe,1
4,possessive,hair,1
4,possessive,hand,5
4,possessive,handbag,1
4,possessive,hands,5
4,possessive,handwriting,1
4,possessive,head,1
4,possessive,headquarters,1
4,possessive,heart,1
4,possessive,heels,1
4,possessive,help,1
4,possessive,hotel,1
4,possessive,impression,1
4,possessive,interest,2
4,possessive,legs,2
4,possessive,life,2
4,possessive,lips,1
4,possessive,mind,1
4,possessive,mission,1
4,possessive,mouth,1
4,possessive,nearness,1
4,possessive,neck,1
4,possessive,necklace,1
4,possessive,newspapers,1
4,possessive,number,1
4,possessive,palms,1
4,possessive,participation,1
4,possessive,partner,2
4,possessive,phone,2
4,possessive,picture,1
4,possessive,pockets,1
4,possessive,poet,1
4,possessive,presence,1
4,possessive,purse,1
4,possessive,questions,1
4,possessive,reaction,1
4,possessive,response,1
4,possessive,room,3
4,possessive,safety,2
4,possessive,shoes,3
4,possessive,shoulder,1
4,possessive,shoulders,2
4,possessive,side,1
4,possessive,skin,1
4,possessive,status,1
4,possessive,stay,1
4,possessive,supervisor,2
4,possessive,surprise,1
4,possessive,tea,1
4,possessive,teacup,1
4,possessive,teeth,1
4,possessive,things,1
4,possessive,time,1
4,possessive,trip,3
4,possessive,visit,1
4,possessive,way,1
4,possessive,wife,1
4,possessive,words,1
4,possessive,work,1
4,possessive,wrist,1
4,predicative,able,1
4,predicative,afraid,1
4,predicative,anxious,1
4,predicative,available,1
4,predicative,busy,1
4,predicative,clumsy,1
4,predicative,devil,1
4,predicative,displeased,1
4,predicative,disturbed,1
4,predicative,fine,1
4,predicative,friend,2
4,predicative,glad,1
4,predicative,idea,1
4,predicative,interested,2
4,predicative,kid,1
4,predicative,mad,1
4,predicative,person,1
4,predicative,pleased,1
4,predicative,presentable,1
4,predicative,right,2
4,predicative,sinologist,1
4,predicative,skeptical,1
4,predicative,sorry,1
4,predicative,surprised,1
4,predicative,worried,1
5,agent,abducted,1
5,agent,accept,1
5,agent,act,1
5,agent,added,1
5,agent,agreed,1
5,agent,answer,1
5,agent,appeared,2
5,agent,applied,1
5,agent,apply,1
5,agent,applying,3
5,agent,arrive,2
5,agent,arrived,3
5,agent,ask,1
5,agent,asked,4
5,agent,bear,1
5,agent,become,1
5,agent,began,1
5,agent,believed,2
5,agent,boarded,1
5,agent,bring,2
5,agent,broke,3
5,agent,brought,2
5,agent,brushed,1
5,agent,came,4
5,agent,carrying,1
5,agent,catching,1
5,agent,change,1
5,agent,changed,3
5,agent,choked,1
5,agent,chosen,1
5,agent,circulated,1
5,agent,clutched,1
5,agent,collected,1
5,agent,come,6
5,agent,coming,1
5,agent,cooperate,1
5,agent,crossed,1
5,agent,cut,3
5,agent,danced,2
5,agent,decide,3
5,agent,decided,1
5,agent,demanded,1
5,agent,did,5
5,agent,dipped,1
5,agent,disappear,2
5,agent,disappeared,5
5,agent,disappears,1
5,agent,discuss,1
5,agent,do,6
5,agent,doing,1
5,agent,done,1
5,agent,dreaded,1
5,agent,dreamed,1
5,agent,dropped,2
5,agent,echoed,1
5,agent,exclaimed,1
5,agent,expected,1
5,agent,explained,3
5,agent,fell,1
5,agent,felt,1
5,agent,fetched,1
5,agent,fled,5
5,agent,flustered,1
5,agent,found,3
5,agent,gave,1
5,agent,get,3
5,agent,gets,1
5,agent,go,5
5,agent,going,7
5,agent,gone,2
5,agent,got,5
5,agent,graduated,1
5,agent,grasped,1
5,agent,greeted,1
5,agent,had,17
5,agent,happen,1
5,agent,has,5
5,agent,hated,1
5,agent,have,15
5,agent,headed,1
5,agent,heard,1
5,agent,help,1
5,agent,helped,1
5,agent,hiding,2
5,agent,hung,1
5,agent,increased,1
5,agent,initiated,1
5,agent,insist,1
5,agent,insisted,3
5,agent,interview,1
5,agent,join,2
5,agent,joined,1
5,agent,joining,1
5,agent,joins,1
5,agent,keep,1
5,agent,kept,1
5,agent,kill,1
5,agent,knew,5
5,agent,know,4
5,agent,knows,1
5,agent,lain,1
5,agent,leave,2
5,agent,leaving,1
5,agent,led,2
5,agent,left,5
5,agent,like,1
5,agent,likes,1
5,agent,listen,2
5,agent,looked,3
5,agent,looks,1
5,agent,made,4
5,agent,make,1
5,agent,married,2
5,agent,mention,1
5,agent,met,1
5,agent,missing,1
5,agent,moved,1
5,agent,needed,1
5,agent,offered,1
5,agent,overpowered,1
5,agent,paid,1
5,agent,picked,1
5,agent,planned,1
5,agent,plowed,1
5,agent,poison,1
5,agent,pounding,1
5,agent,preferred,2
5,agent,promise,1
5,agent,put,1
5,agent,raised,1
5,agent,reached,1
5,agent,read,1
5,agent,realize,1
5,agent,realized,2
5,agent,received,2
5,agent,refused,1
5,agent,refusing,1
5,agent,rejoins,1
5,agent,remained,2
5,agent,remains,1
5,agent,rent,1
5,agent,resurrected,1
5,agent,retired,1
5,agent,return,1
5,agent,returned,2
