char_key,author,book,m_idx,persona,char_id,best_name,gender,count,other_names
Dreams_of_Joy_929,Lisa_See,Dreams_of_Joy,22,2,929,Character_929,None,27,
Dreams_of_Joy_941,Lisa_See,Dreams_of_Joy,22,1,941,peasants,they/them/their,25,
Dreams_of_Joy_942,Lisa_See,Dreams_of_Joy,22,2,942,the masses,they/them/their,25,
Dreams_of_Joy_9490,Lisa_See,Dreams_of_Joy,22,2,9490,Character_9490,None,9,
Empire_of_the_Sun_0,JG_Ballard,Empire_of_the_Sun,11,4,0,Character_0,they/them/their,477,
Empire_of_the_Sun_1030,JG_Ballard,Empire_of_the_Sun,11,0,1030,the driver,he/him/his,58,
Empire_of_the_Sun_1047,JG_Ballard,Empire_of_the_Sun,11,4,1047,people,they/them/their,29,
Empire_of_the_Sun_1179,JG_Ballard,Empire_of_the_Sun,11,0,1179,others,they/them/their,18,
Empire_of_the_Sun_1362,JG_Ballard,Empire_of_the_Sun,11,0,1362,the soldier,he/him/his,25,
Empire_of_the_Sun_1424,JG_Ballard,Empire_of_the_Sun,11,0,1424,the prisoners,they/them/their,150,
Empire_of_the_Sun_1636,JG_Ballard,Empire_of_the_Sun,11,0,1636,the Japanese soldiers,they/them/their,60,
Empire_of_the_Sun_235,JG_Ballard,Empire_of_the_Sun,11,0,235,the Bund,they/them/their,38,the Bund|the Chinese|the Chinese Bund|The Chinese
