model,persona,role,rank,word,weight
P8,5,patient,16,content,0.01467521209269762
P8,5,patient,17,convert,0.014428354799747467
P8,5,patient,18,contribution,0.01238942239433527
P8,5,patient,19,confusion,0.011137649416923523
P8,5,patient,20,confront,0.010696087963879108
P8,5,patient,21,companion,0.009943768382072449
P8,5,patient,22,come,0.007848876528441906
P8,5,patient,23,commit,0.007835094816982746
P8,5,patient,24,consolidate,0.0073260096833109856
P8,5,patient,25,confuse,0.006659085396677256
P8,5,patient,26,channel,0.006618599407374859
P8,5,patient,27,clothe,0.0062585207633674145
P8,5,patient,28,copy,0.006179431453347206
P8,5,patient,29,comb,0.006008240859955549
P8,5,patient,30,complex,0.00597934378311038
P8,5,patient,31,awe,0.005888607352972031
P8,5,patient,32,cappuccino,0.005714033730328083
P8,5,patient,33,chick,0.00549359992146492
P8,5,patient,34,computer,0.005429738666862249
P8,5,patient,35,conﬁne,0.004774350672960281
P8,5,patient,36,commotion,0.004615981597453356
P8,5,patient,37,conﬁrme,0.004581412300467491
P8,5,patient,38,compliment,0.004543892573565245
P8,5,patient,39,comrade,0.004309686366468668
P8,5,patient,40,coerce,0.004159142263233662
P8,5,patient,41,call,0.004125968553125858
P8,5,patient,42,conversation,0.003894803812727332
P8,5,patient,43,bottle,0.003724156180396676
P8,5,patient,44,confused,0.0035512885078787804
P8,5,patient,45,bound,0.0035346418153494596
P8,5,patient,46,clamor,0.0030717956833541393
P8,5,patient,47,challenge,0.0029913175385445356
P8,5,patient,48,appreciation,0.0029446957632899284
P8,5,patient,49,articulate,0.0029382554348558187
P8,5,patient,50,break,0.0028184843249619007
P8,6,agent,1,correct,0.16861572861671448
P8,6,agent,2,correspondence,0.1594478189945221
P8,6,agent,3,core,0.12159126251935959
P8,6,agent,4,contain,0.11611247062683105
P8,6,agent,5,copper,0.11186782270669937
P8,6,agent,6,corrupt,0.08167562633752823
P8,6,agent,7,conﬁrme,0.07960739731788635
P8,6,agent,8,cop,0.05487680062651634
P8,6,agent,9,contemporary,0.0524737685918808
P8,6,agent,10,connoisseur,0.045978039503097534
P8,6,agent,11,confront,0.04413481801748276
P8,6,agent,12,apology,0.04043015465140343
P8,6,agent,13,consolidate,0.03796961158514023
P8,6,agent,14,consider,0.0328151136636734
